Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity,Accident_Hour,Time_Period,High_Risk_Weather,Vehicles_Category,Casualties_Category
Friday,31-50,Male,Elementary school,Employee,1-2yr,Pick up upto 10Q,Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,Moving Backward,Slight Injury,16,Afternoon,0,Medium,Low
Friday,31-50,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Moving Backward,Pedestrian,Female,18-30,3,Driving carelessly,Slight Injury,16,Afternoon,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,5-10yrs,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Male,31-50,3,Driving under the influence of drugs,Slight Injury,14,Afternoon,0,Medium,Low
Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,2-5yrs,Unkown,Residential areas,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Female,31-50,3,Changing lane to the right,Slight Injury,12,Afternoon,0,Medium,Low
Saturday,Unknown,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Male,Under 18,3,No priority to vehicle,Slight Injury,12,Afternoon,0,Medium,Low
Sunday,31-50,Male,Elementary school,Owner,5-10yr,Other,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,1,Night,0,Medium,Low
Sunday,18-30,Male,Elementary school,Employee,Above 10yr,Automobile,Governmental,1-2yr,No defect, Industrial areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Moving Backward,Driver or rider,Male,31-50,3,Driving to the left,Slight Injury,1,Night,0,Medium,Low
Sunday,18-30,Male,Junior high school,Employee,1-2yr,Other,Governmental,1-2yr,No defect, Church areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,Moving Backward,Slight Injury,1,Night,0,Medium,Low
Thursday,Unknown,Female,Junior high school,Employee,5-10yr,Automobile,Organization,1-2yr,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1.0,Other,Pedestrian,Female,18-30,2,No priority to vehicle,Slight Injury,15,Afternoon,0,Medium,Low
Thursday,Under 18,Male,High school,Owner,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1.0,Other,Passenger,Female,18-30,3,No distancing,Slight Injury,15,Afternoon,0,Medium,Low
Wednesday,Unknown,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Unknown,Unkown,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,1.0,Going straight,Driver or rider,Male,18-30,3,Driving carelessly,Slight Injury,14,Afternoon,0,Medium,Low
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,2-5yrs,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,1.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,14,Afternoon,0,Medium,Low
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Male,31-50,3,No priority to vehicle,Serious Injury,16,Afternoon,0,Medium,Low
Monday,Unknown,Male,High school,Owner,1-2yr,Other,Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,18-30,3,No priority to vehicle,Slight Injury,16,Afternoon,0,Medium,Low
Monday,18-30,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Above 10yr,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Other,Driver or rider,Male,31-50,3,No distancing,Slight Injury,16,Afternoon,0,Medium,Low
Friday,Unknown,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Rollover,2,1.0,Going straight,na,na,na,na,Driving to the left,Slight Injury,11,Morning,0,Medium,Low
Friday,Unknown,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1.0,Getting off,Driver or rider,Female,31-50,3,Driving carelessly,Slight Injury,11,Morning,0,Medium,Low
Sunday,Under 18,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,5-10yrs,Unkown,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Driving carelessly,Slight Injury,17,Evening,1,Medium,Low
Sunday,31-50,Male,High school,Owner,Above 10yr,Lorry (41?100Q),Owner,1-2yr,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1.0,Going straight,Driver or rider,Male,18-30,3,Changing lane to the right,Slight Injury,17,Evening,1,Medium,Low
Tuesday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,Unkown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,Driving carelessly,Slight Injury,18,Evening,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Company,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,18,Evening,0,Medium,Low
Friday,Unknown,Female,Junior high school,Employee,1-2yr,Automobile,Governmental,Below 1yr,No defect,Residential areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Female,31-50,3,Driving carelessly,Fatal injury,23,Night,0,Medium,Low
Monday,Over 51,Male,High school,Employee,2-5yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1.0,Going straight,Driver or rider,Male,31-50,3,Driving carelessly,Serious Injury,11,Morning,0,Medium,Low
Monday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,na,na,na,na,Driving under the influence of drugs,Serious Injury,11,Morning,0,Medium,Low
Tuesday,Unknown,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1.0,Going straight,Pedestrian,Male,31-50,3,Driving carelessly,Slight Injury,20,Evening,1,Medium,Low
Monday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Other,Driver or rider,Male,18-30,2,No distancing,Slight Injury,11,Morning,0,Medium,Low
Monday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,Driving carelessly,Slight Injury,11,Morning,0,Medium,Low
Monday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,2-5yrs,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,Driving to the left,Slight Injury,11,Morning,0,Medium,Low
Saturday,31-50,Male,Elementary school,Other,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3.0,Going straight,Driver or rider,Female,18-30,3,Overtaking,Slight Injury,8,Morning,0,Medium,Medium
Saturday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3.0,Going straight,Driver or rider,Male,31-50,3,No distancing,Slight Injury,8,Morning,0,Medium,Medium
Saturday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Governmental,Unknown,Unkown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3.0,Unknown,Passenger,Male,31-50,3,Driving carelessly,Slight Injury,8,Morning,0,Medium,Medium
Saturday,Unknown,Female,Junior high school,Employee,Above 10yr,Automobile,Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,Pedestrian,Male,31-50,3,No priority to vehicle,Slight Injury,18,Evening,0,Medium,Low
Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Unknown,Pedestrian,Male,18-30,3,No priority to vehicle,Slight Injury,18,Evening,0,Medium,Low
Saturday,Unknown,Male,Elementary school,Owner,2-5yr,Automobile,Owner,2-5yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Collision with roadside objects,2,1.0,Going straight,na,na,na,na,No priority to vehicle,Slight Injury,10,Morning,0,Medium,Low
Saturday,31-50,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Company,Unknown,Unkown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,No priority to vehicle,Slight Injury,10,Morning,0,Medium,Low
Sunday,31-50,Male,Junior high school,Owner,1-2yr,Public (12 seats),Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3.0,Unknown,Driver or rider,Male,31-50,3,No distancing,Serious Injury,1,Night,0,Medium,Medium
Sunday,31-50,Male,Elementary school,Employee,Above 10yr,Motorcycle,Owner,Above 10yr,Unkown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3.0,Going straight,na,na,na,na,Moving Backward,Serious Injury,1,Night,0,Medium,Medium
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3.0,Going straight,na,na,na,na,No distancing,Serious Injury,1,Night,0,Medium,Medium
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,3.0,Going straight,Pedestrian,Male,18-30,2,Changing lane to the left,Serious Injury,1,Night,0,Medium,Medium
Sunday,Unknown,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Earth roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,3.0,Going straight,Driver or rider,Male,31-50,3,Changing lane to the left,Serious Injury,1,Night,0,Medium,Medium
Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Above 10yr,No defect, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No priority to pedestrian,Slight Injury,15,Afternoon,0,Medium,Low
Tuesday,31-50,Male,Elementary school,Employee,Above 10yr,Stationwagen,Governmental,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,Moving Backward,Slight Injury,15,Afternoon,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Organization,2-5yrs,Unkown,Other,Undivided Two way,Tangent road with flat terrain,Other,Earth roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,2.0,Going straight,Pedestrian,Male,18-30,3,Changing lane to the left,Slight Injury,1,Night,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2.0,Other,Driver or rider,Male,31-50,3,No distancing,Slight Injury,1,Night,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,1-2yr,Unkown,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No priority to vehicle,Serious Injury,10,Morning,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,31-50,3,Changing lane to the right,Serious Injury,10,Morning,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Owner,Unknown,No defect,  Recreational areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No distancing,Serious Injury,11,Morning,0,Medium,Low
Friday,Over 51,Male,Junior high school,Owner,Above 10yr,Automobile,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Passenger,Female,31-50,3,No distancing,Slight Injury,13,Afternoon,0,Medium,Low
Friday,Over 51,Male,High school,Other,Above 10yr,Public (13?45 seats),Governmental,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Male,18-30,3,Getting off the vehicle improperly,Slight Injury,13,Afternoon,0,Medium,Low
Thursday,Under 18,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,Unkown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No priority to pedestrian,Slight Injury,9,Morning,0,Medium,Low
Thursday,Over 51,Male,Elementary school,Employee,5-10yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1.0,Moving Backward,Driver or rider,Female,18-30,3,Changing lane to the left,Slight Injury,9,Morning,0,Medium,Low
Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No distancing,Serious Injury,8,Morning,0,Medium,Low
Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Governmental,2-5yrs,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,Over 51,3,Driving carelessly,Serious Injury,8,Morning,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Owner,Below 1yr,Lorry (41?100Q),Owner,Unknown,Unkown,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,No distancing,Serious Injury,8,Morning,0,Medium,Low
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,One way,Escarpments,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Serious Injury,8,Morning,0,Medium,Low
Friday,31-50,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads with some distress,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,Overtaking,Slight Injury,8,Morning,0,Medium,Low
Friday,Over 51,Male,Junior high school,Owner,2-5yr,Pick up upto 10Q,Owner,Unknown,No defect,  Recreational areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Driving carelessly,Slight Injury,8,Morning,0,Medium,Low
Monday,Unknown,Female,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,Moving Backward,Slight Injury,23,Night,1,Medium,Low
Friday,Over 51,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No distancing,Serious Injury,11,Morning,0,Medium,Low
Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,Overtaking,Slight Injury,4,Night,0,Medium,Low
Tuesday,Unknown,Male,Junior high school,Employee,2-5yr,Motorcycle,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,Driving carelessly,Slight Injury,22,Night,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Governmental,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2.0,Going straight,Passenger,Female,18-30,3,Driving carelessly,Slight Injury,22,Night,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2.0,Going straight,Driver or rider,Male,18-30,3,Moving Backward,Slight Injury,22,Night,0,Medium,Low
Friday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3.0,Other,Driver or rider,Female,18-30,3,Driving carelessly,Slight Injury,17,Evening,0,Medium,Medium
Friday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3.0,Going straight,na,na,na,na,Driving to the left,Slight Injury,17,Evening,0,Medium,Medium
Friday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Below 1yr,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,17,Evening,0,Medium,Medium
Wednesday,18-30,Male,Elementary school,Owner,2-5yr,Public (> 45 seats),Owner,2-5yrs,Unkown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Female,18-30,1,No distancing,Slight Injury,15,Afternoon,0,Medium,Low
Wednesday,Over 51,Male,Elementary school,Employee,Below 1yr,Automobile,Owner,2-5yrs,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No distancing,Slight Injury,15,Afternoon,0,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Collision with pedestrians,2,1.0,Going straight,Driver or rider,Male,18-30,3,Changing lane to the right,Slight Injury,7,Morning,1,Medium,Low
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Below 1yr,No defect, Hospital areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,Under 18,3,Driving under the influence of drugs,Slight Injury,7,Morning,1,Medium,Low
Monday,Unknown,Male,High school,Employee,1-2yr,Other,Owner,2-5yrs,Unkown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,3.0,Going straight,Passenger,Female,18-30,3,Changing lane to the right,Slight Injury,20,Evening,1,Medium,Medium
Monday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3.0,Other,na,na,na,na,Changing lane to the left,Slight Injury,20,Evening,1,Medium,Medium
Monday,31-50,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,Unkown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3.0,Going straight,Driver or rider,Male,31-50,3,Moving Backward,Slight Injury,20,Evening,1,Medium,Medium
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Company,Unknown,Unkown,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,3.0,Going straight,Driver or rider,Male,31-50,3,No distancing,Slight Injury,20,Evening,1,Medium,Medium
Wednesday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Governmental,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,Changing lane to the right,Slight Injury,18,Evening,0,Medium,Low
Wednesday,Over 51,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,Above 10yr,No defect, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1.0,Going straight,Passenger,Female,18-30,3,Moving Backward,Slight Injury,18,Evening,0,Medium,Low
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Company,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,No distancing,Slight Injury,18,Evening,0,Medium,Low
Tuesday,Over 51,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Snow,Collision with pedestrians,2,1.0,Going straight,na,na,na,na,Driving to the left,Serious Injury,18,Evening,1,Medium,Low
Sunday,Unknown,Male,Junior high school,Owner,1-2yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,5,3,Driving to the left,Slight Injury,10,Morning,0,Medium,Low
